Line,English,Russian,Coordinates
M1,Devyatkino,Девяткино,"60.05027777777777,30.442222222222224"
M1,Grazhdansky Prospekt,Гражданский проспект,"60.035,30.418055555555558"
M1,Akademicheskaya,Академическая,"60.0125,30.395833333333332"
M1,Politekhnicheskaya,Политехническая,"60.00861111111111,30.370833333333334"
M1,Ploschad Muzhestva,Площадь Мужества,"59.999722222222225,30.366666666666667"
M1,Lesnaya,Лесная,"59.984722222222224,30.344166666666666"
M1,Vyborgskaya,Выборгская,"59.971111111111114,30.3475"
M1,Ploshchad Lenina,Площадь Ленина,"59.955555555555556,30.355833333333333"
M1,Chernyshevskaya,Чернышевская,"59.94444444444444,30.359722222222224"
M1,Ploshchad Vosstaniya,Площадь Восстания,"59.93111111111111,30.360555555555557"
M1,Vladimirskaya,Владимирская,"59.927499999999995,30.347777777777775"
M1,Pushkinskaya,Пушкинская,"59.92027777777778,30.329722222222223"
M1,Tekhnologichesky Institut I,Технологический институт-1,"59.91638888888889,30.31833333333333"
M1,Baltiyskaya,Балтийская,"59.907222222222224,30.299444444444447"
M1,Narvskaya,Нарвская,"59.90083333333333,30.27472222222222"
M1,Kirovsky Zavod,Кировский завод,"59.879444444444445,30.261666666666667"
M1,Avtovo,Автово,"59.867222222222225,30.261388888888888"
M1,Leninsky Prospekt,Ленинский проспект,"59.85166666666667,30.268055555555556"
M1,Prospekt Veteranov,Проспект Ветеранов,"59.84166666666667,30.251666666666665"
M2,Parnas,Парнас,"60.066944444444445,30.333888888888886"
M2,Prospect Prosvesheniya,Проспект Просвещения,"60.05138888888889,30.33222222222222"
M2,Ozerki,Озерки,"60.036944444444444,30.32138888888889"
M2,Udelnaya,Удельная,"60.016666666666666,30.315555555555555"
M2,Pionerskaya,Пионерская,"60.0025,30.296666666666667"
M2,Chyornaya Rechka,Чёрная речка,"59.985,30.301111111111112"
M2,Petrogradskaya,Петроградская,"59.96611111111111,30.311666666666667"
M2,Gorkovskaya,Горьковская,"59.95611111111111,30.31861111111111"
M2,Nevsky Prospekt,Невский проспект,"59.934999999999995,30.328333333333333"
M2,Sennaya Ploschad,Сенная площадь,"59.926944444444445,30.32027777777778"
M2,Tekhnologichesky Institut II,Технологический институт-2,"59.91638888888889,30.31833333333333"
M2,Frunzenskaya,Фрунзенская,"59.90611111111111,30.31722222222222"
M2,Moskovskiye Vorota,Московские ворота,"59.89138888888889,30.317777777777778"
M2,Elektrosila,Электросила,"59.87888888888889,30.31861111111111"
M2,Park Pobedy,Парк Победы,"59.86638888888889,30.321666666666665"
M2,Moskovskaya,Московская,"59.85194444444445,30.321944444444444"
M2,Zvyozdnaya,Звёздная,"59.83305555555556,30.349444444444444"
M2,Kupchino,Купчино,"59.82944444444445,30.37527777777778"
M3,Begovaya,Беговая,"59.98722222222222,30.202222222222222"
M3,Zenit,Зенит,"59.97222222222222,30.211666666666666"
M3,Primorskaya,Приморская,"59.94833333333333,30.234166666666667"
M3,Vasileostrovskaya,Василеостровская,"59.942499999999995,30.278055555555554"
M3,Gostiny Dvor,Гостиный двор,"59.933611111111105,30.33277777777778"
M3,Mayakovskaya,Маяковская,"59.93138888888889,30.354722222222225"
M3,Ploshchad Alexandra Nevskogo I,Площадь Александра Невского-1,"59.924166666666665,30.385833333333334"
M3,Yelizarovskaya,Елизаровская,"59.89666666666667,30.423333333333336"
M3,Lomonosovskaya,Ломоносовская,"59.87722222222222,30.441666666666666"
M3,Proletraskaya,Пролетарская,"59.865,30.47"
M3,Obukhovo,Обухово,"59.84861111111111,30.4575"
M3,Rybatskoye,Рыбацкое,"59.83083333333334,30.5"
M4,Spasskaya,Спасская,"59.92666666666666,30.319444444444443"
M4,Dostoevskaya,Достоевская,"59.92805555555555,30.34611111111111"
M4,Ligovsky Prospekt,Лиговский проспект,"59.92055555555555,30.354722222222225"
M4,Ploshchad Alexandra Nevskogo II,Площадь Александра Невского-2,"59.92333333333333,30.383333333333333"
M4,Novocherkasskaya,Новочеркасская,"59.928888888888885,30.411666666666665"
M4,Ladozhskaya,Ладожская,"59.93222222222222,30.43888888888889"
M4,Prospekt Bolshevikov,Проспект Большевиков,"59.91972222222222,30.46638888888889"
M4,Ulitsa Dybenko,Улица Дыбенко,"59.907222222222224,30.483055555555556"
M5,Komendantsky Prospekt,Комендантский проспект,"60.00833333333333,30.25861111111111"
M5,Staraya Derevnya,Старая Деревня,"59.98916666666667,30.255"
M5,Krestovsky Ostrov,Крестовский остров,"59.97166666666667,30.259444444444444"
M5,Chkalovskaya,Чкаловская,"59.96083333333333,30.291944444444447"
M5,Sportivnaya,Спортивная,"59.95027777777778,30.28805555555556"
M5,Admiralteyskaya,Адмиралтейская,"59.93583333333333,30.315"
M5,Sadovaya,Садовая,"59.92638888888889,30.31722222222222"
M5,Zvenigorodskaya,Звенигородская,"59.92222222222222,30.335555555555555"
M5,Obvodny Kanal,Обводный канал,"59.91444444444444,30.349444444444444"
M5,Volkovskaya,Волковская,"59.895833333333336,30.35777777777778"
M5,Bukharestskaya,Бухарестская,"59.88388888888889,30.36861111111111"
M5,Mezhdunarodnaya,Международная,"59.87027777777778,30.378888888888888"
M5,Prospekt Slavy,Проспект Славы,"59.856944444444444,30.39472222222222"
M5,Dunayskaya,Дунайская,"59.83972222222222,30.41111111111111"
M5,Shushary,Шушары,"59.82,30.43277777777778"
